date,institutional,other,individual,foreign,total,ticker
2017.5.31,75789232000,3332515000,30241201000,-1.09363E+11,0,011170
2017.6.30,-1.2886E+11,2916080000,1.31336E+11,-5391923500,0,011170
2017.7.31,1.38414E+11,-417862000,-1.4553E+11,7534813000,0,011170
2017.8.31,91490887000,1928286000,-1.57374E+11,63954357000,0,011170
2017.9.30,-25688483000,-538944500,-5173019000,31400446500,0,011170
2017.10.31,-1.60584E+11,898567000,1.06853E+11,52832256500,0,011170
2017.11.30,-1.85578E+11,448196500,84093638500,1.01037E+11,0,011170
2017.12.31,74844290500,-4393718500,-97106064000,26655492000,0,011170
2018.1.31,1.5462E+11,-520385500,-2.1304E+11,58939779500,0,011170
2018.2.28,94693481000,-263285000,-1.20605E+11,26174669500,0,011170
2018.3.31,-67509852000,-1701869500,15682365000,53529356500,0,011170
2018.4.30,-7403448500,-3585988500,-8120640000,19110077000,0,011170
2018.5.31,30369642500,936698500,68653112000,-99959453000,0,011170
2018.6.30,-18200598000,1512371500,72121573500,-55433347000,0,011170
2018.7.31,50775172500,2352514000,-22706795000,-30420891500,0,011170
2018.8.31,-31992718500,4328143000,1.37921E+11,-1.10256E+11,0,011170
2018.9.30,-1.40437E+11,1772159500,1.60632E+11,-21966625500,0,011170
2018.10.31,-46805310000,2012220500,1843947500,42949142000,0,011170
2018.11.30,-16743846500,-2328288000,-23044966000,42117100500,0,011170
2018.12.31,11829506500,-4645723000,-32609082500,25425299000,0,011170
2019.1.31,56225489000,-1754256500,-79368817000,24897584500,0,011170
2019.2.28,-35690986500,-2152481000,-93062882500,1.30906E+11,0,011170
2019.3.31,-1.02382E+11,1121716000,98782470000,2477904000,0,011170
2019.4.30,-90647701500,1937396500,1.11053E+11,-22343052500,0,011170
2019.5.31,-3575338750,2058834500,62687244000,-61170739750,0,011170
2019.6.30,-22087133500,-1713930500,7010906500,16790157500,0,011170
2019.7.31,34188702500,663638500,6487527500,-41339868500,0,011170
2019.8.31,35618755500,1534406500,-8750064500,-28403097500,0,011170
2019.9.30,26767812000,-163592500,-9527590500,-17076629000,0,011170
2019.10.31,-5565737500,1852388500,27821941000,-24108592000,0,011170
2019.11.30,-19309546000,-1249338500,35877940000,-15319055500,0,011170
2019.12.31,11896062500,37583575000,-24340893500,-25138744000,0,011170
2020.1.31,-48083273000,2036365000,74568248500,-28521340500,0,011170
2020.2.29,-42384967500,18476620000,-26499140500,50407488000,0,011170
2020.3.31,89828734500,453051500,-36992391500,-53289394500,0,011170
2020.4.30,85784565000,-1831972000,-48618157500,-35334435500,0,011170
2020.5.31,-44463266000,-598752000,1.06653E+11,-61590689500,0,011170
2020.6.30,-1.16216E+11,3717050500,1.3346E+11,-20961006500,0,011170
2020.7.31,-67521991000,1240674000,31115093000,35166224000,0,011170
2020.8.31,6761693000,2710543500,-84051708500,74579472000,0,011170
2020.9.30,35467103000,36206873500,-61481782500,-10192194000,0,011170
2020.10.31,2.51595E+11,-545457500,-1.17367E+11,-1.33683E+11,0,011170
2020.11.30,81451111000,2384761000,18435978000,-1.02272E+11,0,011170
2020.12.31,-1.97176E+11,3734226500,2.07105E+11,-13663149000,0,011170
2021.1.31,-45180228000,5696177000,60999630000,-21515579000,0,011170
2021.2.28,2.01455E+11,-3487044000,-2.58404E+11,60436891500,0,011170
2021.3.31,-66653920500,3205793500,1.52318E+11,-88869478000,0,011170
2021.4.30,-1.82386E+11,6904537000,1.83352E+11,-7870309500,0,011170
2021.5.31,-1.33112E+11,26544367500,1.04068E+11,2499424500,0,011170
2021.6.30,-3.03039E+11,1605985000,2.73957E+11,27476480000,0,011170
2021.7.31,-3017442500,-16958000,-48667500000,51701900500,0,011170
2021.8.31,-23274794000,-728383500,30543778000,-6540600500,0,011170
2021.9.30,40412925500,-1518243000,7493225000,-46387907500,0,011170
2021.10.31,-21033975500,4123024000,58909034500,-41998083000,0,011170
2021.11.30,-11726410000,-268155500,24378424000,-12383858500,0,011170
2021.12.31,79959333000,-5867518000,-40739752500,-33352062500,0,011170
2013.4.30,63090312900,1023843700,-66748146100,2633989500,0,011070
2013.5.31,55453237200,1051742000,-54815171800,-1689807400,0,011070
2013.6.30,-3584770300,-1441042100,-6637655700,11663468100,0,011070
2013.7.31,-7906435600,-405020600,8720528200,-409072000,0,011070
2013.8.31,7938609500,1586499800,-4651150000,-4873959300,0,011070
2013.9.30,28513350450,1564571900,20755688900,-50833611250,0,011070
2013.10.31,29350129400,483529300,-5880726800,-23952931900,0,011070
2013.11.30,-21015697000,-442271500,31951529100,-10493560600,0,011070
2013.12.31,20494831400,850594700,-19615637900,-1729788200,0,011070
2014.1.31,29544551700,2284284600,-26908007500,-4920828800,0,011070
2014.2.28,28147263700,4856802900,-30004856600,-2999210000,0,011070
2014.3.31,577634500,2723338000,-39440364700,36139392200,0,011070
2014.4.30,4476251000,1013860000,-21882833000,16392722000,0,011070
2014.5.31,27143562000,-2351515000,-56068887500,31276840500,0,011070
2014.6.30,29915407500,-3978926000,-40571371000,14634889500,0,011070
2014.7.31,-27003071000,-7983642000,3750452500,31236260500,0,011070
2014.8.31,-24289209000,-2289183000,-14491372000,41069764000,0,011070
2014.9.30,-49143192500,-3108592500,40606897000,11644888000,0,011070
2014.10.31,-56380421600,458178700,67218048900,-11295806000,0,011070
2014.11.30,74058245400,-1703287100,-42249383100,-30105575200,0,011070
2014.12.31,44472990000,2120773800,-36068705500,-10525058300,0,011070
2015.1.31,-72483661800,-2726866100,51438648700,23771879200,0,011070
2015.2.28,3424973400,727766500,-9965458300,5812718400,0,011070
2015.3.31,15146571500,-1238224500,-48461770500,34553423500,0,011070
2015.4.30,-1.19451E+11,-706717300,87053247000,33104846400,0,011070
2015.5.31,-9805444500,413209200,13732262900,-4340027600,0,011070
2015.6.30,96000964800,184101400,-79386052800,-16799013400,0,011070
2015.7.31,-37117156900,-3069527000,82184955900,-41998272000,0,011070
2015.8.31,37770035000,2053085700,-26915659400,-12907461300,0,011070
2015.9.30,-4813742800,-745807600,-3051657400,8611207800,0,011070
2015.10.31,-8942011800,2291458400,-11743783100,18394336500,0,011070
2015.11.30,-5586998600,663791700,-20669523400,25592730300,0,011070
2015.12.31,-7601553000,1336974800,-467535100,6732113300,0,011070
2016.1.31,-47214800100,-1564858700,46312493200,2467165600,0,011070
2016.2.29,2433061100,4418329800,-7891891700,1040500800,0,011070
2016.3.31,-93679513700,16130100,79255618000,14407765600,0,011070
2016.4.30,-33621507000,558915100,38589524000,-5526932100,0,011070
2016.5.31,21988407200,-1944061600,-1.22153E+11,1.02109E+11,0,011070
2016.6.30,16486595600,-649531500,1626605700,-17463669800,0,011070
2016.7.31,43687091600,333711200,-69113849300,25093046500,0,011070
2016.8.31,-44996330400,671916100,30766475800,13557938500,0,011070
2016.9.30,-35795011700,-54336600,48023520600,-12174172300,0,011070
2016.10.31,-15797978600,188192700,8712640500,6897145400,0,011070
