date,BPS,PER,PBR,EPS,DIV,DPS,ticker
2017.1.31,49913,8.25,1.42,8585,0.99,700,039490
2017.2.28,49913,8.46,1.45,8585,0.96,700,039490
2017.3.31,49913,9.09,1.56,8585,0.9,700,039490
2017.4.30,49913,9.73,1.67,8585,0.84,700,039490
2017.5.31,56278,9.89,1.43,8142,1.06,850,039490
2017.6.30,56278,10.46,1.51,8142,1,850,039490
2017.7.31,56278,11.35,1.64,8142,0.92,850,039490
2017.8.31,56278,10.45,1.51,8142,1,850,039490
2017.9.30,56278,10.01,1.45,8142,1.04,850,039490
2017.10.31,56278,8.93,1.29,8142,1.17,850,039490
2017.11.30,56278,8.97,1.3,8142,1.16,850,039490
2017.12.31,56278,9.95,1.44,8142,1.05,850,039490
2018.1.31,56278,10.76,1.56,8142,0.97,850,039490
2018.2.28,56278,13.69,1.98,8142,0.76,850,039490
2018.3.31,56278,12.28,1.78,8142,0.85,850,039490
2018.4.30,56278,13.26,1.92,8142,0.79,850,039490
2018.5.31,68988,10.76,1.7,10870,1.11,1300,039490
2018.6.30,68988,11.5,1.81,10870,1.04,1300,039490
2018.7.31,68988,9.2,1.45,10870,1.3,1300,039490
2018.8.31,68988,8.63,1.36,10870,1.39,1300,039490
2018.9.30,68988,8.36,1.32,10870,1.43,1300,039490
2018.10.31,68988,8.74,1.38,10870,1.37,1300,039490
2018.11.30,68988,6.99,1.1,10870,1.71,1300,039490
2018.12.31,68988,8.33,1.31,10870,1.43,1300,039490
2019.1.31,68988,6.86,1.08,10870,1.74,1300,039490
2019.2.28,68988,7.98,1.26,10870,1.5,1300,039490
2019.3.31,68988,7.46,1.18,10870,1.6,1300,039490
2019.4.30,68988,7.9,1.25,10870,1.51,1300,039490
2019.5.31,80397,11.34,1.02,7230,1.83,1500,039490
2019.6.30,80397,11.04,0.99,7230,1.88,1500,039490
2019.7.31,80397,11.37,1.02,7230,1.82,1500,039490
2019.8.31,80397,10.04,0.9,7230,2.07,1500,039490
2019.9.30,80397,9.13,0.82,7230,2.27,1500,039490
2019.10.31,80397,9.5,0.85,7230,2.18,1500,039490
2019.11.30,80397,9.64,0.87,7230,2.15,1500,039490
2019.12.31,80397,10.39,0.93,7230,2,1500,039490
2020.1.31,80397,10.93,0.98,7230,1.9,1500,039490
2020.2.29,80397,9.94,0.89,7230,2.09,1500,039490
2020.3.31,80397,9.02,0.81,7230,2.3,1500,039490
2020.4.30,80397,9.29,0.84,7230,2.23,1500,039490
2020.5.31,87976,5.21,0.83,14017,2.74,2000,039490
2020.6.30,87976,5.89,0.94,14017,2.42,2000,039490
2020.7.31,87976,6.08,0.97,14017,2.35,2000,039490
2020.8.31,87976,6.86,1.09,14017,2.08,2000,039490
2020.9.30,87976,7.99,1.27,14017,1.79,2000,039490
2020.10.31,87976,7.11,1.13,14017,2.01,2000,039490
2020.11.30,87976,7.53,1.2,14017,1.9,2000,039490
2020.12.31,87976,9.17,1.46,14017,1.56,2000,039490
2021.1.31,87976,9.6,1.53,14017,1.49,2000,039490
2021.2.28,87976,10.38,1.65,14017,1.37,2000,039490
2021.3.31,87976,9.2,1.47,14017,1.55,2000,039490
2021.4.30,87976,9.45,1.51,14017,1.51,2000,039490
2021.5.31,111919,4.19,1.13,30319,2.36,3000,039490
2021.6.30,111919,4.09,1.11,30319,2.42,3000,039490
2021.7.31,111919,4.21,1.14,30319,2.35,3000,039490
2021.8.31,111919,3.89,1.05,30319,2.54,3000,039490
2021.9.30,111919,3.89,1.05,30319,2.54,3000,039490
2021.10.31,111919,3.5,0.95,30319,2.83,3000,039490
2021.11.30,111919,3.46,0.94,30319,2.86,3000,039490
2021.12.31,111919,3.29,0.89,30319,3.01,3000,039490
2013.4.30,13454,14.46,3.08,2869,0.48,200,111770
2013.5.31,15724,14.44,2.67,2909,0.48,200,111770
2013.6.30,15724,13.99,2.59,2909,0.49,200,111770
2013.7.31,15724,13.63,2.52,2909,0.5,200,111770
2013.8.31,15724,11.86,2.19,2909,0.58,200,111770
2013.9.30,15724,10.88,2.01,2909,0.63,200,111770
2013.10.31,15724,10.61,1.96,2909,0.65,200,111770
2013.11.30,15724,12.79,2.37,2909,0.54,200,111770
2013.12.31,15724,13.22,2.45,2909,0.52,200,111770
2014.1.31,15724,13.7,2.53,2909,0.5,200,111770
2014.2.28,15724,12.94,2.39,2909,0.53,200,111770
2014.3.31,15724,12.72,2.35,2909,0.54,200,111770
2014.4.30,15724,13.41,2.48,2909,0.51,200,111770
2014.5.31,19215,16.55,2.16,2513,0.48,200,111770
2014.6.30,19215,18.19,2.38,2513,0.44,200,111770
2014.7.31,19215,17.89,2.34,2513,0.44,200,111770
2014.8.31,19215,17.19,2.25,2513,0.46,200,111770
2014.9.30,19215,24.15,3.16,2513,0.33,200,111770
2014.10.31,19215,24.91,3.26,2513,0.32,200,111770
2014.11.30,19215,25.67,3.36,2513,0.31,200,111770
2014.12.31,19215,23,3.01,2513,0.35,200,111770
2015.1.31,19215,21.73,2.84,2513,0.37,200,111770
2015.2.28,19215,21.61,2.83,2513,0.37,200,111770
2015.3.31,19215,19.26,2.52,2513,0.41,200,111770
2015.4.30,19215,22.2,2.9,2513,0.36,200,111770
2015.5.31,21940,22.73,2.99,2891,0.3,200,111770
2015.6.30,21940,21,2.77,2891,0.33,200,111770
2015.7.31,21940,18.44,2.43,2891,0.38,200,111770
2015.8.31,21940,20.2,2.66,2891,0.34,200,111770
2015.9.30,21940,20.93,2.76,2891,0.33,200,111770
2015.10.31,21940,20.41,2.69,2891,0.34,200,111770
2015.11.30,21940,15.58,2.05,2891,0.44,200,111770
2015.12.31,21940,15.05,1.98,2891,0.46,200,111770
2016.1.31,21940,14.08,1.86,2891,0.49,200,111770
2016.2.29,21940,17.71,2.33,2891,0.39,200,111770
2016.3.31,21940,17.1,2.25,2891,0.4,200,111770
2016.4.30,21940,15.82,2.09,2891,0.44,200,111770
2016.5.31,26554,15.2,1.68,2931,0.45,200,111770
2016.6.30,26554,14.3,1.58,2931,0.48,200,111770
2016.7.31,26554,14.24,1.57,2931,0.48,200,111770
2016.8.31,26554,12.27,1.35,2931,0.56,200,111770
2016.9.30,26554,11.41,1.26,2931,0.6,200,111770
2016.10.31,26554,12.69,1.4,2931,0.54,200,111770
2016.11.30,26554,11.14,1.23,2931,0.61,200,111770
2016.12.31,26554,9.11,1.01,2931,0.75,200,111770
2017.1.31,26554,10.66,1.18,2931,0.64,200,111770
2017.2.28,26554,9.26,1.02,2931,0.74,200,111770
2017.3.31,26554,10.71,1.18,2931,0.64,200,111770
2017.4.30,26554,11.24,1.24,2931,0.61,200,111770
2017.5.31,28097,13.48,1.19,2489,0.75,250,111770
2017.6.30,28097,14.7,1.3,2489,0.68,250,111770
2017.7.31,28097,13.6,1.2,2489,0.74,250,111770
2017.8.31,28097,12.92,1.14,2489,0.78,250,111770
2017.9.30,28097,13.56,1.2,2489,0.74,250,111770
2017.10.31,28097,13.02,1.15,2489,0.77,250,111770
2017.11.30,28097,13.78,1.22,2489,0.73,250,111770
2017.12.31,28097,13.88,1.23,2489,0.72,250,111770
2018.1.31,28097,12.6,1.12,2489,0.8,250,111770
2018.2.28,28097,13.36,1.18,2489,0.75,250,111770
2018.3.31,28097,11.49,1.02,2489,0.87,250,111770
2018.4.30,28097,11.43,1.01,2489,0.88,250,111770
2018.5.31,27747,12.39,1.11,2477,0.98,300,111770
2018.6.30,27747,12.6,1.12,2477,0.96,300,111770
2018.7.31,27747,13.02,1.16,2477,0.93,300,111770
2018.8.31,27747,12.29,1.1,2477,0.99,300,111770
2018.9.30,27747,14.37,1.28,2477,0.84,300,111770
2018.10.31,27747,15.58,1.39,2477,0.78,300,111770
2018.11.30,27747,13.95,1.25,2477,0.87,300,111770
2018.12.31,27747,15.52,1.39,2477,0.78,300,111770
2019.1.31,27747,15.28,1.36,2477,0.79,300,111770
2019.2.28,27747,13.77,1.23,2477,0.88,300,111770
2019.3.31,27747,14.61,1.3,2477,0.83,300,111770
2019.4.30,27747,13.42,1.2,2477,0.9,300,111770
2019.5.31,34857,14.71,1.09,2577,0.92,350,111770
2019.6.30,34857,15.19,1.12,2577,0.89,350,111770
2019.7.31,34857,14.78,1.09,2577,0.92,350,111770
2019.8.31,34857,13.04,0.96,2577,1.04,350,111770
2019.9.30,34857,13.95,1.03,2577,0.97,350,111770
2019.10.31,34857,14.01,1.04,2577,0.97,350,111770
2019.11.30,34857,13.8,1.02,2577,0.98,350,111770
2019.12.31,34857,13.87,1.03,2577,0.98,350,111770
2020.1.31,34857,13.06,0.97,2577,1.04,350,111770
2020.2.29,34857,11.74,0.87,2577,1.16,350,111770
2020.3.31,34857,12.3,0.91,2577,1.1,350,111770
2020.4.30,34857,8.42,0.62,2577,1.61,350,111770
2020.5.31,41602,6.88,0.63,3791,1.53,400,111770
2020.6.30,41602,8.59,0.78,3791,1.23,400,111770
2020.7.31,41602,6.83,0.62,3791,1.54,400,111770
2020.8.31,41602,6.15,0.56,3791,1.72,400,111770
2020.9.30,41602,8.36,0.76,3791,1.26,400,111770
2020.10.31,41602,7.39,0.67,3791,1.43,400,111770
2020.11.30,41602,7.39,0.67,3791,1.43,400,111770
2020.12.31,41602,8.01,0.73,3791,1.32,400,111770
2021.1.31,41602,8.2,0.75,3791,1.29,400,111770
2021.2.28,41602,9.35,0.85,3791,1.13,400,111770
2021.3.31,41602,10.87,0.99,3791,0.97,400,111770
2021.4.30,41602,10.41,0.95,3791,1.01,400,111770
2021.5.31,41408,12.21,0.99,3366,1.22,500,111770
2021.6.30,41408,13.77,1.12,3366,1.08,500,111770
2021.7.31,41408,13.1,1.07,3366,1.13,500,111770
2021.8.31,41408,11.78,0.96,3366,1.26,500,111770
2021.9.30,41408,12.45,1.01,3366,1.19,500,111770
2021.10.31,41408,12.77,1.04,3366,1.16,500,111770
2021.11.30,41408,12.97,1.05,3366,1.15,500,111770
2021.12.31,41408,11.66,0.95,3366,1.27,500,111770
2013.4.30,62112,17.4,0.54,1934,1.34,450,000880
2013.5.31,65985,6.95,0.47,4459,1.45,450,000880
2013.6.30,65985,7.1,0.48,4459,1.42,450,000880
2013.7.31,65985,6.63,0.45,4459,1.52,450,000880
2013.8.31,65985,6.95,0.47,4459,1.45,450,000880
2013.9.30,65985,7.36,0.5,4459,1.37,450,000880
2013.10.31,65985,8.39,0.57,4459,1.2,450,000880
2013.11.30,65985,9.09,0.61,4459,1.11,450,000880
2013.12.31,65985,8.53,0.58,4459,1.18,450,000880
2014.1.31,65985,8.61,0.58,4459,1.17,450,000880
