date,market_cap,volume,trading_value,shares,ticker
2013.12.31,6.75929E+12,4950280,3.01129E+11,111355765,000720
2014.1.31,6.50318E+12,11402097,6.71929E+11,111355765,000720
2014.2.28,6.50318E+12,10210381,5.91596E+11,111355765,000720
2014.3.31,6.23592E+12,10231141,5.68625E+11,111355765,000720
2014.4.30,6.21365E+12,5541358,3.11896E+11,111355765,000720
2014.5.31,5.9464E+12,5467060,2.9782E+11,111355765,000720
2014.6.30,6.41409E+12,7243201,3.90441E+11,111355765,000720
2014.7.31,7.05996E+12,11791464,7.24204E+11,111355765,000720
2014.8.31,7.11563E+12,6685227,4.18883E+11,111355765,000720
2014.9.30,6.71475E+12,6164009,3.87984E+11,111355765,000720
2014.10.31,5.40632E+12,10593229,5.58073E+11,111355765,000720
2014.11.30,4.98874E+12,15443340,7.25443E+11,111355765,000720
2014.12.31,4.68808E+12,9541125,4.04838E+11,111355765,000720
2015.1.31,4.86068E+12,12748827,5.13586E+11,111355765,000720
2015.2.28,5.50097E+12,9890231,4.51728E+11,111355765,000720
2015.3.31,5.61233E+12,14863883,7.61728E+11,111355765,000720
2015.4.30,5.77936E+12,17987378,9.8917E+11,111355765,000720
2015.5.31,4.92749E+12,11770243,5.6969E+11,111355765,000720
2015.6.30,4.57115E+12,14835803,6.39227E+11,111355765,000720
2015.7.31,3.83064E+12,25836483,9.6953E+11,111355765,000720
2015.8.31,3.69701E+12,13933873,4.60517E+11,111355765,000720
2015.9.30,3.80837E+12,15226899,5.24111E+11,111355765,000720
2015.10.31,3.85291E+12,18357208,6.72282E+11,111355765,000720
2015.11.30,3.55782E+12,9184502,3.02836E+11,111355765,000720
2015.12.31,3.17921E+12,10863067,3.21842E+11,111355765,000720
2016.1.31,4.08676E+12,23263841,7.40912E+11,111355765,000720
2016.2.29,4.23152E+12,15386887,5.80216E+11,111355765,000720
2016.3.31,4.69365E+12,17229399,6.81883E+11,111355765,000720
2016.4.30,4.4765E+12,12540336,5.01705E+11,111355765,000720
2016.5.31,3.80837E+12,13713134,4.80909E+11,111355765,000720
2016.6.30,3.71371E+12,11483792,3.83725E+11,111355765,000720
2016.7.31,4.09789E+12,11696052,3.98364E+11,111355765,000720
2016.8.31,4.29276E+12,10585725,4.01515E+11,111355765,000720
2016.9.30,4.37071E+12,7413802,2.85538E+11,111355765,000720
2016.10.31,4.6157E+12,9622923,4.02769E+11,111355765,000720
2016.11.30,4.38185E+12,10494514,4.44366E+11,111355765,000720
2016.12.31,4.76603E+12,7328485,3.1033E+11,111355765,000720
2017.1.31,4.62683E+12,7679795,3.17062E+11,111355765,000720
2017.2.28,5.32281E+12,8338540,3.82066E+11,111355765,000720
2017.3.31,5.51211E+12,8434971,4.14929E+11,111355765,000720
2017.4.30,5.40632E+12,6534569,3.21097E+11,111355765,000720
2017.5.31,5.42303E+12,8535461,4.13447E+11,111355765,000720
2017.6.30,5.12793E+12,9187286,4.2154E+11,111355765,000720
2017.7.31,5.04442E+12,7473938,3.51312E+11,111355765,000720
2017.8.31,4.52661E+12,8344943,3.54979E+11,111355765,000720
2017.9.30,4.27049E+12,8627765,3.34225E+11,111355765,000720
2017.10.31,4.21482E+12,7621559,2.97991E+11,111355765,000720
2017.11.30,3.90302E+12,16213304,6.0217E+11,111355765,000720
2017.12.31,4.04221E+12,9153851,3.26676E+11,111355765,000720
2018.1.31,4.77716E+12,21246246,8.57874E+11,111355765,000720
2018.2.28,4.2872E+12,12933474,5.31262E+11,111355765,000720
2018.3.31,4.86625E+12,17091198,7.03922E+11,111355765,000720
2018.4.30,7.08223E+12,49378097,2.54396E+12,111355765,000720
2018.5.31,8.21806E+12,146089092,1.01312E+13,111355765,000720
2018.6.30,6.40296E+12,66542076,4.36595E+12,111355765,000720
2018.7.31,6.51431E+12,35651891,1.93527E+12,111355765,000720
2018.8.31,6.68135E+12,23538446,1.42068E+12,111355765,000720
2018.9.30,7.51651E+12,22622525,1.49979E+12,111355765,000720
2018.10.31,5.09453E+12,25711469,1.42052E+12,111355765,000720
2018.11.30,6.12457E+12,19834703,1.01177E+12,111355765,000720
2018.12.31,6.08002E+12,17660220,9.93146E+11,111355765,000720
2019.1.31,6.92633E+12,14759283,8.71811E+11,111355765,000720
2019.2.28,6.36955E+12,12101499,7.57235E+11,111355765,000720
2019.3.31,5.9464E+12,15924414,8.30217E+11,111355765,000720
2019.4.30,5.84618E+12,10138698,5.37919E+11,111355765,000720
2019.5.31,5.72369E+12,9573133,4.74813E+11,111355765,000720
2019.6.30,5.96867E+12,9555007,5.18914E+11,111355765,000720
2019.7.31,4.79387E+12,15649489,7.46279E+11,111355765,000720
2019.8.31,4.60456E+12,12876894,5.21204E+11,111355765,000720
2019.9.30,5.15577E+12,12451178,5.68299E+11,111355765,000720
