date,ticker,open,high,low,close,volume
2017.1.31,068270,84558,85108,77720,78743,7866592
2017.2.28,068270,79212,80939,78425,79765,6539629
2017.3.31,068270,80154,80154,68682,70805,16068967
2017.4.30,068270,70802,72295,69625,70412,8153379
2017.5.31,068270,70329,76856,69859,75128,10842697
2017.6.30,068270,75438,93909,74338,90453,23655222
2017.7.31,068270,91159,91862,82514,85266,17918106
2017.8.31,068270,86047,93670,79524,90453,19976829
2017.9.30,068270,90919,118267,86601,111593,38834892
2017.10.31,068270,114970,163847,112926,136033,54983635
2017.11.30,068270,136504,179490,130449,157252,54739676
2017.12.31,068270,157959,180893,151435,177208,38423958
2018.1.31,068270,179211,299754,178089,253030,72415236
2018.2.28,068270,252306,292140,191153,282925,45945329
2018.3.31,068270,282921,314179,224814,248060,63539283
2018.4.30,068270,248857,253265,195559,217202,30982730
2018.5.31,068270,214394,224415,187544,212794,26212427
2018.6.30,068270,212791,249258,211589,243251,19103917
2018.7.31,068270,242848,249661,196762,217604,20297797
2018.8.31,068270,221608,231625,201571,216402,17437168
2018.9.30,068270,215196,249659,212390,238041,15516838
2018.10.31,068270,238038,240042,169511,174323,36899032
2018.11.30,068270,175923,201168,157889,191955,31963951
2018.12.31,068270,195559,199566,161095,181515,30708108
2019.1.31,068270,183143,185183,158668,178659,23558110
2019.2.28,068270,180288,180695,163157,166830,10363227
2019.3.31,068270,168866,173353,145616,147658,12917068
2019.4.30,068270,147247,183141,146840,172949,14123841
2019.5.31,068270,172946,173761,140313,155002,14626773
2019.6.30,068270,154591,175395,152960,167647,9333688
2019.7.31,068270,168051,170906,135011,139092,14795710
2019.8.31,068270,138274,143168,112168,128080,24840281
2019.9.30,068270,127260,143986,124405,133790,13893268
2019.10.31,068270,137867,168867,135827,163159,15896240
2019.11.30,068270,163158,163972,139907,141948,14207711
2019.12.31,068270,142760,159715,133787,154593,16670717
2020.1.31,068270,154591,159287,140926,140927,13390746
2020.2.29,068270,138362,160141,136654,145197,15575594
2020.3.31,068270,145622,198576,118292,195590,55904716
2020.4.30,068270,199857,201566,155446,179790,49256209
2020.5.31,068270,177652,189608,171246,182352,15619356
2020.6.30,068270,182776,282706,181921,261358,52397696
2020.7.31,068270,263061,289967,245126,253244,28223466
2020.8.31,068270,251106,276728,242137,253670,24503492
2020.9.30,068270,253667,275020,212670,219933,25295986
2020.10.31,068270,221213,235732,199432,205840,15712129
2020.11.30,068270,207119,321141,204983,290397,40914415
2020.12.31,068270,295520,344633,276730,312243,61737861
2021.1.31,068270,305717,339204,257881,281802,41294726
2021.2.28,068270,290497,333114,245269,258752,30215072
2021.3.31,068270,263100,290932,243964,282236,16373359
2021.4.30,068270,281365,284843,229614,231355,17264866
2021.5.31,068270,230483,241790,212218,238748,16966808
2021.6.30,068270,238747,247443,227004,233529,15164191
2021.7.31,068270,234833,240922,220482,220483,11349429
2021.8.31,068270,222222,261361,222222,254839,16779621
2021.9.30,068270,254837,257010,225265,225702,11326668
2021.10.31,068270,224395,224830,173950,174386,16840461
2021.11.30,068270,174385,218308,168295,180039,25560718
2021.12.31,068270,183517,189606,169600,175460,17314658
2013.11.30,071050,39050,41250,38600,40650,278008
2013.12.31,071050,40350,41450,38000,40800,1331674
2014.1.31,071050,40900,41150,38600,39450,1429085
2014.2.28,071050,39550,39850,37300,38450,1591763
2014.3.31,071050,38250,38450,35500,36800,1406894
2014.4.30,071050,36500,38750,36250,37850,1686895
2014.5.31,071050,37550,40200,35600,38700,1707577
2014.6.30,071050,38550,41000,37000,40200,1621754
2014.7.31,071050,39900,48250,39300,46450,3034102
2014.8.31,071050,46400,52000,45300,50900,2544105
2014.9.30,071050,50300,58000,49350,55400,2530562
2014.10.31,071050,54700,56200,49750,54100,3869721
2014.11.30,071050,53500,57700,51600,57400,2491912
2014.12.31,071050,56400,57400,47800,48500,2180986
2015.1.31,071050,47600,53100,46200,52000,2330701
2015.2.28,071050,51100,54900,50400,54600,1729345
2015.3.31,071050,54100,65000,50100,62900,3378989
2015.4.30,071050,62100,74300,61300,69000,4269685
2015.5.31,071050,69800,69800,63000,66400,2373902
2015.6.30,071050,64700,68600,59600,63700,2814179
2015.7.31,071050,63100,66600,57900,62200,3183864
2015.8.31,071050,62200,74600,60700,69800,4145832
2015.9.30,071050,68700,69800,58900,61100,2948765
2015.10.31,071050,60800,63900,58600,61000,2037513
2015.11.30,071050,60500,60600,52800,54700,2698473
2015.12.31,071050,55200,55200,49550,49550,3108354
2016.1.31,071050,48850,49500,40950,46400,3411636
2016.2.29,071050,46700,48200,38050,41550,3077828
2016.3.31,071050,42400,48500,42250,43950,4617283
2016.4.30,071050,43650,47850,41300,46100,3517610
2016.5.31,071050,45550,45550,41200,44650,3238407
2016.6.30,071050,44650,46050,39550,42100,3526291
2016.7.31,071050,42250,47050,41750,46900,2880679
2016.8.31,071050,47000,47500,40100,40100,3058647
2016.9.30,071050,40050,42450,39850,40750,1856267
2016.10.31,071050,40600,42050,40000,41100,1862638
2016.11.30,071050,41000,43550,39650,40050,2552772
2016.12.31,071050,40100,43500,40000,41900,2020494
2017.1.31,071050,42400,47050,41150,46500,2850935
2017.2.28,071050,46900,49400,45850,47400,2427437
2017.3.31,071050,47900,50300,45250,47100,2535536
2017.4.30,071050,47100,52300,45400,51300,2231811
2017.5.31,071050,51200,62300,51100,61200,3419036
2017.6.30,071050,60800,72000,59500,70100,3457795
2017.7.31,071050,70100,75200,67700,71200,4089602
2017.8.31,071050,71200,73200,64400,65700,3767760
2017.9.30,071050,65700,67800,59500,61200,3385366
2017.10.31,071050,61800,67900,61100,63300,3030259
2017.11.30,071050,62500,72500,62100,68200,4271620
2017.12.31,071050,68200,70500,66300,69000,3061168
2018.1.31,071050,69000,93300,68200,87400,6832937
2018.2.28,071050,87000,88300,77100,78500,5042099
2018.3.31,071050,77300,88200,76200,82700,3743349
2018.4.30,071050,82800,92700,77200,91100,4639310
2018.5.31,071050,90000,98900,85500,93900,3636443
2018.6.30,071050,93900,98500,81900,84100,3461595
2018.7.31,071050,83600,84000,68000,71400,5696347
2018.8.31,071050,71600,74400,62900,71300,4594893
2018.9.30,071050,71600,76400,66900,76100,3328283
2018.10.31,071050,75700,76200,58100,59300,4596698
2018.11.30,071050,59500,70200,59100,67700,3802023
2018.12.31,071050,68500,70200,58000,59500,3236315
2019.1.31,071050,59600,65700,55500,64300,3702244
2019.2.28,071050,64300,65900,60700,64500,2892656
2019.3.31,071050,64000,67400,59800,62100,3221967
2019.4.30,071050,61900,73200,61900,68400,4557613
2019.5.31,071050,67400,72900,64500,72400,3952382
2019.6.30,071050,71700,83700,71200,80700,3628198
2019.7.31,071050,81500,82000,73300,74500,3911457
2019.8.31,071050,74000,75100,66900,72300,3858717
2019.9.30,071050,71700,79900,70000,75300,3191026
2019.10.31,071050,75100,75600,67800,67800,3354342
2019.11.30,071050,67400,73500,67100,71700,2891560
2019.12.31,071050,71900,73600,64600,72400,3487248
2020.1.31,071050,72300,75800,66500,66500,3429083
2020.2.29,071050,65000,70300,62100,62800,3770406
2020.3.31,071050,62900,66000,30000,49750,8074174
2020.4.30,071050,49500,51600,42800,50100,6614460
2020.5.31,071050,48350,54600,44100,52700,7337530
2020.6.30,071050,52900,60000,44450,44500,9444070
2020.7.31,071050,44800,52000,42650,48700,9214602
2020.8.31,071050,48750,69600,48650,60900,13382507
2020.9.30,071050,61400,89100,61300,72500,22258232
2020.10.31,071050,71700,74400,66000,68600,6991225
2020.11.30,071050,68600,79300,68600,74100,9797507
2020.12.31,071050,75100,82200,75000,79000,9141706
2021.1.31,071050,78900,95400,78300,81300,13831214
2021.2.28,071050,81300,96200,80500,87300,8839888
2021.3.31,071050,88800,89600,82200,85600,6215968
2021.4.30,071050,85900,121000,85200,112000,12511568
2021.5.31,071050,110500,115000,100500,104000,7467036
2021.6.30,071050,104000,112000,101000,103000,6774849
2021.7.31,071050,103000,113000,94100,95900,11421868
2021.8.31,071050,95800,101000,88900,95300,6973313
2021.9.30,071050,94200,96500,83200,86300,4520542
2021.10.31,071050,85400,90300,81500,87000,3800957
2021.11.30,071050,87200,89900,74500,75300,4434590
2021.12.31,071050,75300,86300,74600,80700,3833317
2013.11.30,078930,54500,57400,54400,56600,869263
2013.12.31,078930,56600,57500,53800,57300,4292707
2014.1.31,078930,58200,58300,51100,51300,4272745
2014.2.28,078930,50600,50900,46800,49550,5248345
2014.3.31,078930,49300,50800,46050,48200,4677275
2014.4.30,078930,48300,50700,47800,48100,3662296
2014.5.31,078930,48100,49000,43150,43350,5706509
2014.6.30,078930,43500,45350,41250,45100,5685536
2014.7.31,078930,44900,47450,43050,47150,5385901
2014.8.31,078930,46750,47950,42200,43050,5086329
2014.9.30,078930,42800,43250,39950,40300,5144692
2014.10.31,078930,40250,43050,38900,41450,5563727
2014.11.30,078930,41100,44600,39300,41600,4891947
2014.12.31,078930,40600,42400,38850,40000,3963745
2015.1.31,078930,39600,42300,37200,41700,4304129
2015.2.28,078930,42600,45100,41400,44250,4359107
2015.3.31,078930,44300,45700,40850,42900,5368034
2015.4.30,078930,42600,51800,42100,50200,11439948
2015.5.31,078930,50000,52900,48000,49600,5597840
2015.6.30,078930,50300,51500,45850,49750,6406789
2015.7.31,078930,49800,52000,44150,45400,6397678
2015.8.31,078930,44500,46950,42400,46450,4980933
2015.9.30,078930,46900,49200,43550,45550,3497442
2015.10.31,078930,45450,51000,45400,50200,4355206
2015.11.30,078930,49550,53500,48100,50500,4867882
2015.12.31,078930,50500,52600,48650,50700,4191747
2016.1.31,078930,50300,50700,46150,50400,4426109
2016.2.29,078930,50500,54700,48900,53000,3984148
2016.3.31,078930,53900,59300,51600,59000,4449818
2016.4.30,078930,58800,60000,54700,55300,3455338
2016.5.31,078930,55200,55800,50200,52400,4086246
2016.6.30,078930,52000,53000,45700,47450,4306105
2016.7.31,078930,47450,50600,46650,48100,4354373
2016.8.31,078930,48200,51300,46800,49400,4263056
2016.9.30,078930,49100,54000,48800,53500,3212077
2016.10.31,078930,53500,54100,50400,51100,2785097
2016.11.30,078930,50700,56600,50500,54400,3420265
2016.12.31,078930,56000,56200,53100,54100,3865287
2017.1.31,078930,53900,54800,50100,51000,3272266
2017.2.28,078930,51200,55700,50500,55500,3603636
2017.3.31,078930,55800,59100,53400,59100,3562782
2017.4.30,078930,58700,61000,56100,59300,3140235
2017.5.31,078930,59300,75100,57500,72900,6037637
2017.6.30,078930,72300,74400,64500,68200,6273995
2017.7.31,078930,68500,75400,66800,75400,4048993
2017.8.31,078930,75300,77600,67000,70600,4968710
2017.9.30,078930,71000,71500,63200,65600,4083850
2017.10.31,078930,65600,69000,64800,66200,3203199
2017.11.30,078930,65500,68600,59300,61100,5287037
2017.12.31,078930,61200,62700,59100,62200,3590104
2018.1.31,078930,62100,71500,60800,69400,4707117
2018.2.28,078930,68700,70600,61700,66100,3518855
2018.3.31,078930,65000,67400,60800,62100,3141495
2018.4.30,078930,62100,64300,59300,61300,3872416
2018.5.31,078930,61400,63200,57500,58300,3605308
2018.6.30,078930,58300,60000,53400,54400,3392947
2018.7.31,078930,54100,54400,50100,53800,3678454
2018.8.31,078930,53900,55700,52000,53100,3233625
2018.9.30,078930,52900,55200,50800,55100,3040433
2018.10.31,078930,55300,56600,46700,48500,4262991
2018.11.30,078930,48300,52800,47950,51500,3858234
2018.12.31,078930,51900,53700,49800,51600,3096582
2019.1.31,078930,51100,54500,47900,54400,3020547
2019.2.28,078930,53900,54500,52200,53600,2255139
2019.3.31,078930,53600,55200,50400,52800,2741289
2019.4.30,078930,52500,54700,51800,52000,2646432
2019.5.31,078930,51800,52600,48700,50100,3280550
2019.6.30,078930,50000,52000,49300,51200,2436649
2019.7.31,078930,51400,52900,49800,50300,2190460
2019.8.31,078930,50000,50800,45100,48000,3171784
2019.9.30,078930,47950,51200,47050,50300,2196580
2019.10.31,078930,50100,51300,49000,49650,2130132
2019.11.30,078930,49350,51000,47700,47850,2615194
2019.12.31,078930,47850,53700,47600,51600,3071401
2020.1.31,078930,51300,51400,45650,45700,2949273
2020.2.29,078930,45600,47100,40750,41250,3629764
2020.3.31,078930,41100,41650,32200,36800,6855273
2020.4.30,078930,36100,41000,35100,38550,6538197
2020.5.31,078930,37800,40650,36300,37700,5468749
2020.6.30,078930,38050,41950,36000,36250,6218305
2020.7.31,078930,36500,37550,34650,35000,4604517
2020.8.31,078930,35000,36800,32250,32500,8050159
2020.9.30,078930,32550,34450,30300,31000,5895864
2020.10.31,078930,30950,35550,30600,33000,6230213
2020.11.30,078930,33150,39350,33000,35050,9588283
2020.12.31,078930,35500,38550,35450,37550,8116969
2021.1.31,078930,37700,41750,35800,36250,11494630
2021.2.28,078930,36250,42050,36250,39000,9635308
2021.3.31,078930,39800,40700,38150,39100,7505640
2021.4.30,078930,39100,45500,38600,43050,9392742
2021.5.31,078930,42900,50300,42250,46100,11320163
2021.6.30,078930,46250,49350,45250,46250,6518399
2021.7.31,078930,46500,47400,42700,42800,4446385
2021.8.31,078930,43200,43750,39350,42500,4264630
2021.9.30,078930,42050,46350,41300,44750,5143342
2021.10.31,078930,44800,46350,42100,42250,4667450
2021.11.30,078930,42150,44250,37500,37500,4367389
2021.12.31,078930,37450,41500,37150,39100,4290505
2013.11.30,086280,113544,120296,113294,118046,434720
2013.12.31,086280,117545,118046,105291,115545,2049432
2014.1.31,086280,117295,117546,105791,114045,2440567
2014.2.28,086280,113543,118046,106541,117296,1781407
2014.3.31,086280,115545,122297,106291,120797,2710398
2014.4.30,086280,118546,129550,118546,121798,2381679
2014.5.31,086280,121047,133302,118046,131802,1933067
2014.6.30,086280,133302,145307,128300,134803,2770566
2014.7.31,086280,133552,140305,126549,132052,3244006
2014.8.31,086280,131551,166065,130301,151309,3276862
2014.9.30,086280,151559,168565,146307,161063,2513117
2014.10.31,086280,161063,162063,131051,133052,3822782
2014.11.30,086280,131801,157811,129800,139055,3808944
2014.12.31,086280,137554,148558,131050,145807,3192684
2015.1.31,086280,144307,155060,112293,122298,13288941
2015.2.28,086280,121047,130050,115295,119297,21806799
2015.3.31,086280,119546,121297,112293,113044,8819881
2015.4.30,086280,112544,126049,104540,118046,8026684
2015.5.31,086280,117046,125799,108042,125299,4418011
2015.6.30,086280,126049,129801,99289,101040,6716097
2015.7.31,086280,101039,101289,86533,97538,9500190
2015.8.31,086280,96538,98788,79280,86034,6269402
2015.9.30,086280,85532,112043,81531,112044,6957054
2015.10.31,086280,112794,118546,96287,98288,7509898
2015.11.30,086280,97788,102790,91035,95537,4278965
2015.12.31,086280,95787,99038,88034,96538,2322356
2016.1.31,086280,95537,106291,89785,102040,3114102
2016.2.29,086280,101039,106291,95787,96288,2907421
2016.3.31,086280,97538,99039,91535,94287,4110036
2016.4.30,086280,93536,98038,90535,95037,3707270
2016.5.31,086280,95287,95787,88534,91036,2576265
2016.6.30,086280,90785,92786,83032,85783,4365236
2016.7.31,086280,86033,88784,82782,84033,4422470
2016.8.31,086280,84032,93286,81531,91786,4798859
2016.9.30,086280,91535,98538,88784,90535,3705714
2016.10.31,086280,90284,92286,86033,86784,2946569
2016.11.30,086280,86783,88534,77279,79531,4099341
2016.12.31,086280,78780,79280,73528,77280,4157739
2017.1.31,086280,77279,86033,76529,77780,4426375
2017.2.28,086280,78530,81282,74528,76780,4001781
2017.3.31,086280,77529,79280,72527,73529,5252603
2017.4.30,086280,73528,74279,69526,72528,4709313
2017.5.31,086280,72528,80531,71527,79781,5180061
2017.6.30,086280,79781,79781,74028,78531,4164613
2017.7.31,086280,78030,81782,75278,78531,4083784
2017.8.31,086280,78030,84282,76530,77530,4397668
2017.9.30,086280,77280,77530,69277,74029,3549397
2017.10.31,086280,73278,76279,71027,75529,2404774
2017.11.30,086280,75529,77280,70527,73279,4087947
2017.12.31,086280,73528,74028,66525,68026,4210077
2018.1.31,086280,68526,71527,67525,69777,4379992
2018.2.28,086280,69526,73528,65025,71278,5243024
2018.3.31,086280,70027,107292,68526,84533,15427254
2018.4.30,086280,85783,94787,82531,84283,10460252
2018.5.31,086280,83782,87033,64274,67276,9791395
2018.6.30,086280,67275,70527,56771,57772,4306131
2018.7.31,086280,58022,70027,55271,68527,4763611
2018.8.31,086280,68776,69277,59272,60523,4052575
2018.9.30,086280,59772,67776,59523,65025,3289454
2018.10.31,086280,64775,65025,51269,57022,4197003
2018.11.30,086280,56272,62524,54521,61774,4087973
2018.12.31,086280,62274,67526,59022,64525,2896437
2019.1.31,086280,64274,73778,61773,71028,4140501
2019.2.28,086280,70527,76030,66275,69777,3610422
2019.3.31,086280,70027,70527,61273,64275,4218501
2019.4.30,086280,64524,81531,63774,79781,4906155
2019.5.31,086280,79280,82031,74028,81282,4514277
2019.6.30,086280,80281,84532,79780,80531,2986649
2019.7.31,086280,81031,82031,75779,77030,2881661
2019.8.31,086280,77030,81782,74778,80031,2743643
2019.9.30,086280,81281,81281,74279,78030,2429825
2019.10.31,086280,77529,78280,73028,75529,2811444
2019.11.30,086280,75279,78280,74278,75279,2456660
2019.12.31,086280,75529,75529,71277,71528,2249973
2020.1.31,086280,71277,79531,66025,73529,3875773
2020.2.29,086280,73278,74279,60523,61524,3447057
2020.3.31,086280,60773,62774,35163,45317,6909373
2020.4.30,086280,44417,54270,42866,50770,5592196
2020.5.31,086280,50018,57271,48268,56522,5312434
2020.6.30,086280,56021,64024,50269,50770,6204913
2020.7.31,086280,51019,63774,51019,55772,6659831
2020.8.31,086280,56021,77529,54771,72778,9920074
2020.9.30,086280,73528,76530,65525,72028,6597816
2020.10.31,086280,72028,111043,71027,83783,26649492
2020.11.30,086280,85033,100789,84533,89035,11915690
2020.12.31,086280,90535,98288,88534,92036,12029349
2021.1.31,086280,92035,117546,90534,95037,32241213
2021.2.28,086280,95537,114544,93536,96538,18254792
2021.3.31,086280,98788,99539,91535,93787,7823437
2021.4.30,086280,94037,98288,88534,96038,10450856
2021.5.31,086280,96538,100039,91535,94537,6135282
2021.6.30,086280,95036,108542,93036,104541,10110193
2021.7.31,086280,104040,107041,97288,97288,5845410
2021.8.31,086280,97787,99288,87033,97038,4776356
2021.9.30,086280,96037,97538,82531,83282,4117797
2021.10.31,086280,83031,90285,78780,83783,4674506
2021.11.30,086280,84783,86033,72027,72778,4257106
2021.12.31,086280,72778,88284,72528,84033,4913819
2013.11.30,086790,40000,40450,39400,39700,2929437
2013.12.31,086790,39600,43900,38800,43900,16274206
2014.1.31,086790,44700,44750,39400,40900,18076781
2014.2.28,086790,40800,41700,37000,41700,20696262
2014.3.31,086790,41050,41850,38200,38900,22385412
2014.4.30,086790,39050,39850,36200,36350,19608859
2014.5.31,086790,36400,38150,34800,37050,16621008
2014.6.30,086790,37400,38700,35700,37500,15615593
2014.7.31,086790,37200,42900,36100,41900,23416195
2014.8.31,086790,41900,43500,40500,42550,14367270
2014.9.30,086790,42100,43750,37850,38500,14437045
2014.10.31,086790,38650,38800,33550,37050,22239156
2014.11.30,086790,36950,37150,33750,33800,15395675
2014.12.31,086790,33500,33800,31400,32000,14853129
2015.1.31,086790,32400,34100,30650,32300,19581581
